"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"C_0805";2;"C22pF";;;
2;"R3,R2,R1";"R_0603";3;"R100k";;;
3;"Y1";"Crystal_HC49-SD_SMD";1;"Crystal";;;
4;"cpu1";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA328P-A";;;
5;"ctemp1";"c_elec_3x5.3";1;"CP10uF";;;
6;"P1";"Pin_Header_Straight_1x02";1;"therm";;;
7;"P2";"Pin_Header_Straight_1x04";1;"lcd";;;
8;"P4";"Pin_Header_Straight_1x04";1;"qc";;;
9;"P5";"Pin_Header_Straight_1x06";1;"ftdi";;;
10;"P6";"Pin_Header_Straight_1x03";1;"servo";;;
11;"P7";"Pin_Header_Straight_1x03";1;"hall";;;
12;"P11";"Pin_Header_Straight_1x04";1;"enc";;;
13;"P12";"Pin_Header_Straight_2x03";1;"icsp";;;
14;"Q1,Q2,Q3";"TO-252-2Lead";3;"IRLR2905PBF";;;
15;"rtemp1";"R_1206";1;"R4.7k";;;
16;"P8";"2Screw";1;"htr";;;
17;"P13";"2Screw";1;"pwr";;;
18;"P14";"Pin_Header_Straight_2x03";1;"24V";;;
19;"P15";"Pin_Header_Straight_2x03";1;"5V";;;
20;"PSU1";"7-28V";1;"DC-DC_Buck";;;
21;"D1,D2,D3";"DO-214AC";3;"D";;;
22;"P9";"Pin_Header_Straight_1x02";1;"winder";;;
23;"P10";"2Screw";1;"auger";;;
24;"P3,P16,P17,P18";"1pin";4;"CONN_01X01";;;
25;"W1,W3,W4";"Pin_Header_Straight_1x01";3;"TEST_1P";;;
